City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Mar Del Plata,AR,2020-07-29 21:39:12,-38.0,-57.56,51.8,57,0,5.82
70,Mataura,NZ,2020-07-29 21:39:15,-46.19,168.86,50.54,80,100,3.51
71,Eureka,US,2020-07-29 21:39:15,40.8,-124.16,70.0,50,12,1.99
72,Nome,US,2020-07-29 21:39:15,64.5,-165.41,50.0,87,90,10.29
73,Vardo,NO,2020-07-29 21:39:15,70.37,31.11,51.8,93,40,28.86
74,Bluff,NZ,2020-07-29 21:39:15,-46.6,168.33,52.74,75,100,13.89
75,Butaritari,KI,2020-07-29 21:39:15,3.07,172.79,83.01,75,36,18.1
76,Manjacaze,MZ,2020-07-29 21:39:15,-24.71,33.88,56.97,84,0,4.56
77,Kavieng,PG,2020-07-29 21:39:15,-2.57,150.8,82.9,68,1,4.72
78,Mackay,AU,2020-07-29 21:39:16,-21.15,149.2,51.01,93,0,6.93
79,Anadyr,RU,2020-07-29 21:39:16,64.75,177.48,53.6,87,75,2.24
80,Zhigansk,RU,2020-07-29 21:39:16,66.77,123.37,49.48,64,0,20.92
81,Padang,ID,2020-07-29 21:39:16,-0.95,100.35,77.29,74,99,4.29
82,Chapais,CA,2020-07-29 21:39:16,49.78,-74.85,69.8,73,1,5.82
83,Sitka,US,2020-07-29 21:39:16,57.05,-135.33,62.6,77,1,4.7
84,Dzhebariki-Khaya,RU,2020-07-29 21:39:16,62.22,135.8,57.24,44,0,8.05
85,Umri,IN,2020-07-29 21:39:16,26.51,78.94,81.64,78,99,5.37
86,Dikson,RU,2020-07-29 21:39:17,73.51,80.55,49.55,75,58,9.01
87,Yar-Sale,RU,2020-07-29 21:39:17,66.83,70.83,50.65,78,96,6.4
88,Fraserburgh,GB,2020-07-29 21:39:17,57.69,-2.02,51.01,77,58,1.01
89,Qaanaaq,GL,2020-07-29 21:39:14,77.48,-69.36,43.57,67,1,3.36
90,Tiksi,RU,2020-07-29 21:39:17,71.69,128.87,40.06,86,100,7.81
91,Kapaa,US,2020-07-29 21:38:56,22.08,-159.32,80.01,78,90,16.11
92,Nogliki,RU,2020-07-29 21:39:17,51.83,143.17,66.97,84,26,19.44
93,Lorengau,PG,2020-07-29 21:39:17,-2.02,147.27,82.8,67,23,4.7
94,Barcelona,ES,2020-07-29 21:34:57,41.39,2.16,78.8,78,20,2.24
95,Port Jervis,US,2020-07-29 21:39:17,41.38,-74.69,89.01,44,0,4.65
96,Danilov,RU,2020-07-29 21:39:18,58.19,40.17,64.4,100,40,6.71
97,Severo-Kurilsk,RU,2020-07-29 21:39:18,50.68,156.12,54.66,85,97,13.27
98,Hilo,US,2020-07-29 21:39:18,19.73,-155.09,82.4,58,1,8.05
99,Bagotville,AU,2020-07-29 21:39:18,-28.98,153.42,53.6,87,5,9.17
100,Cidreira,BR,2020-07-29 21:39:18,-30.18,-50.21,46.67,74,0,5.77
101,Ust-Tsilma,RU,2020-07-29 21:39:18,65.44,52.15,47.37,78,0,4.65
102,Birao,CF,2020-07-29 21:39:18,10.28,22.79,69.42,93,48,7.05
103,At-Bashi,KG,2020-07-29 21:39:18,41.17,75.81,49.78,68,6,0.85
104,Umm Lajj,SA,2020-07-29 21:39:18,25.02,37.27,86.32,75,44,19.86
105,Superior,US,2020-07-29 21:34:47,46.72,-92.1,78.8,44,40,5.5
106,Jiangyou,CN,2020-07-29 21:39:18,31.77,104.72,72.19,71,100,6.93
107,Carnarvon,AU,2020-07-29 21:39:18,-24.87,113.63,55.4,100,0,8.05
108,Roma,US,2020-07-29 21:39:19,43.21,-75.46,75.2,73,1,6.93
109,Skibbereen,IE,2020-07-29 21:39:19,51.55,-9.27,59.0,93,75,11.41
110,Bambanglipuro,ID,2020-07-29 21:39:19,-7.95,110.28,70.07,82,39,4.36
111,Aklavik,CA,2020-07-29 21:39:19,68.22,-135.01,53.6,81,75,3.36
112,Harnosand,SE,2020-07-29 21:39:19,62.63,17.94,59.0,100,96,2.24
113,Shorkot,PK,2020-07-29 21:39:19,31.91,70.88,100.17,33,1,15.19
114,Luderitz,NA,2020-07-29 21:39:19,-26.65,15.16,57.2,71,0,10.29
115,Wuhu,CN,2020-07-29 21:39:19,31.34,118.38,77.0,100,40,4.47
116,Mahebourg,MU,2020-07-29 21:39:19,-20.41,57.7,71.6,83,40,10.29
117,Dawei,MM,2020-07-29 21:39:19,14.08,98.2,77.11,87,100,2.28
118,Jiayuguan,CN,2020-07-29 21:39:19,39.82,98.3,67.23,42,0,1.3
119,Lavrentiya,RU,2020-07-29 21:39:20,65.58,-171.0,49.53,83,93,10.69
120,Mount Gambier,AU,2020-07-29 21:39:20,-37.83,140.77,39.2,93,40,4.7
121,Dunedin,NZ,2020-07-29 21:39:20,-45.87,170.5,48.0,77,99,8.01
122,Fuxin,CN,2020-07-29 21:39:20,42.02,121.66,72.18,89,57,9.46
123,Yellowknife,CA,2020-07-29 21:39:20,62.46,-114.35,71.01,56,75,10.29
124,Paamiut,GL,2020-07-29 21:39:20,61.99,-49.67,48.25,89,86,1.3
125,Huarmey,PE,2020-07-29 21:39:20,-10.07,-78.15,64.54,70,5,9.06
