City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Aklavik,CA,68.22,-135.01,51.8,93,90,6.93,overcast clouds
83,Stornoway,GB,58.21,-6.39,55.0,93,100,4.7,light rain
84,Port Augusta,AU,-32.5,137.77,48.2,93,100,5.82,overcast clouds
85,Jamestown,US,42.1,-79.24,73.0,88,90,13.87,mist
86,Dunedin,NZ,-45.87,170.5,48.99,89,92,4.97,overcast clouds
87,Comodoro Rivadavia,AR,-45.87,-67.5,57.2,50,68,12.75,broken clouds
88,Lasa,IT,46.62,10.7,66.0,88,75,5.82,thunderstorm
89,Auxerre,FR,47.8,3.57,73.0,42,78,1.01,broken clouds
90,Shestakovo,RU,56.49,103.96,54.88,75,47,4.27,scattered clouds
91,Krasnyy Chikoy,RU,50.36,108.75,57.4,90,100,3.44,overcast clouds
92,Makurdi,NG,7.74,8.51,75.11,88,100,6.31,overcast clouds
93,Airai,TL,-8.93,125.41,52.43,85,9,1.68,clear sky
94,Puerto Ayora,EC,-0.74,-90.35,75.2,69,75,16.11,broken clouds
95,Sistranda,NO,63.73,8.83,59.0,87,75,11.41,broken clouds
96,Yebaishou,CN,41.4,119.64,68.83,86,0,4.54,clear sky
97,Mattru,SL,7.62,-11.83,71.62,97,100,2.3,overcast clouds
98,Khatanga,RU,71.97,102.5,58.98,80,8,5.59,clear sky
99,Lagoa,PT,39.05,-27.98,71.82,75,0,13.42,clear sky
100,Fort Nelson,CA,58.81,-122.7,73.4,53,75,11.41,broken clouds
101,Bathsheba,BB,13.22,-59.52,87.8,70,40,16.11,scattered clouds
102,Leningradskiy,RU,69.38,178.42,37.4,90,100,8.55,overcast clouds
103,Banjar,ID,-8.19,114.97,75.2,100,20,2.24,few clouds
104,Pacific Grove,US,36.62,-121.92,68.0,68,75,8.05,broken clouds
105,Atlantic City,US,39.36,-74.42,87.8,66,1,13.87,clear sky
106,Lincoln,US,40.8,-96.67,78.01,61,75,12.75,broken clouds
107,Ponta Do Sol,PT,32.67,-17.1,73.0,70,2,6.53,clear sky
