City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
162,Hobyo,SO,79.02,overcast clouds,5.35,48.53,Osmani Hotel
165,Birin,NP,82.4,scattered clouds,26.89,88.07,HOTEL SURYODAYA
166,Prince George,CA,77.0,clear sky,53.92,-122.75,Canadas Best Value Inn Prince George
169,Puerto Escondido,MX,87.8,broken clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
172,Ca Mau,VN,77.85,moderate rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
173,Peniche,PT,71.01,clear sky,39.36,-9.38,Hotel Star inn Peniche
175,Nagykovacsi,HU,75.99,overcast clouds,47.65,19.02,Bükkös Hotel & Spa
176,Kathu,TH,84.0,broken clouds,7.92,98.33,Sunset Beach Resort
178,Gondal,IN,87.01,overcast clouds,21.97,70.8,Orchard Palace
180,Negombo,LK,77.0,scattered clouds,7.21,79.84,Hotel Sunset Beach
182,Aksu,CN,79.39,broken clouds,41.12,80.26,Pudong Holiday Hotel
184,Kulhudhuffushi,MV,82.36,light rain,6.62,73.07,Haajy Guest House 1
186,Los Llanos De Aridane,ES,75.99,few clouds,28.66,-17.92,Valle Aridane
187,Harper,LR,74.35,overcast clouds,4.38,-7.72,Screensaver
189,Gallup,US,88.0,clear sky,35.53,-108.74,El Capitan Motel
190,Katsuura,JP,75.2,few clouds,35.13,140.3,Katsuura Hotel Mikazuki
193,Dengfeng,CN,82.0,clear sky,34.46,113.03,Songshan Dihao Hotel
196,Ambon,ID,75.99,overcast clouds,-3.7,128.18,Swiss-Belhotel Ambon
200,Zhob,PK,88.05,clear sky,31.34,69.45,ROOM # 105 DUBAI HOTEL ZHOB
202,Guarapari,BR,75.0,clear sky,-20.67,-40.5,Hotel Porto do Sol
204,Tarakan,ID,79.02,overcast clouds,3.3,117.63,Hotel D' CaLia Tarakan
206,Carbonia,IT,89.01,clear sky,39.17,8.52,Lu 'Hotel
207,Palmer,US,82.0,light rain,42.16,-72.33,Wedgewood Motel
208,Dingle,PH,76.53,overcast clouds,11.0,122.67,Camp Pasica
209,Kavaratti,IN,82.44,light rain,10.57,72.64,Bismillah Hotel And Lodging
213,Mason City,US,71.6,overcast clouds,43.15,-93.2,Days Inn by Wyndham Mason City
215,Hanna,CA,82.0,clear sky,51.63,-111.9,"West View Motel, Hanna, AB"
216,Piacabucu,BR,75.63,broken clouds,-10.41,-36.43,Piaçabuçu News
217,Kimbe,PG,76.91,few clouds,-5.55,150.14,Kimbe Bay Hotel
218,Hailey,US,84.2,clear sky,43.52,-114.32,Wood River Inn & Suites
220,Nanzhang,CN,80.65,overcast clouds,31.78,111.84,Longmenkezhan
221,Vanimo,PG,76.28,scattered clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
223,Banda Aceh,ID,80.94,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
226,Auki,SB,76.75,clear sky,-8.77,160.7,Auki Motel
227,Gizo,SB,80.85,clear sky,-8.1,156.84,Imagination Island
228,Maceio,BR,75.2,shower rain,-9.67,-35.74,Mercure Maceio Pajucara Hotel
230,Ibirama,BR,77.0,clear sky,-27.06,-49.52,Hotel Soralete
233,Kahului,US,80.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
235,Manadhoo,MV,82.56,light rain,5.77,73.38,Vevu Guesthouse
239,Goderich,CA,75.99,light rain,43.75,-81.72,Harmony Inn
245,Sandakan,MY,80.6,few clouds,5.84,118.12,Hotel Sandakan
249,Gat,IL,82.0,clear sky,31.61,34.76,רגע בנחת
250,Allapalli,IN,81.16,moderate rain,19.42,80.07,Hotel IK Residency
251,Junqueiro,BR,73.31,light rain,-9.93,-36.48,POUSADA E RESTAURANTE QUEROMAIS
253,Fernie,CA,84.2,few clouds,49.5,-115.07,Fernie Stanford Resort
254,Margate,GB,70.0,light rain,51.38,1.39,Premier Inn Margate hotel
255,Palu,ID,75.96,overcast clouds,-0.89,119.87,Hotel Santika Palu
257,Saint-Denis,FR,72.0,scattered clouds,48.92,2.33,Appart'City Paris Clichy Mairie - Appart Hôtel
260,Santa Adelia,BR,80.74,clear sky,-21.24,-48.8,Marri Hotel
265,Axim,GH,74.14,clear sky,4.87,-2.24,AXIM BEACH RESORT AND SPA
266,Tambura,SS,70.59,light rain,5.6,27.47,Guest hous Tambura
271,Trairi,BR,83.25,clear sky,-3.28,-39.27,Pousada Field Lilies - Trairi
273,Rawlins,US,80.6,clear sky,41.79,-107.24,Holiday Inn Express Rawlins
274,Tura,IN,79.09,overcast clouds,25.52,90.22,Hotel RIKMAN Continental
275,Paciran,ID,75.43,broken clouds,-6.88,112.38,Tanjung Kodok Beach Resort
277,Lata,PT,71.01,clear sky,40.16,-8.33,Casa Maquia
278,Chicama,PE,72.54,scattered clouds,-7.84,-79.15,Hospedaje Punta Cana PERU
281,Korla,CN,83.43,few clouds,41.76,86.15,Gulisitan Hotel
284,Pleszew,PL,78.01,overcast clouds,51.9,17.79,Apartamenty Zamkowa
286,Yurgamysh,RU,72.73,clear sky,55.37,64.47,Gostinitsa Uyut
288,Tautira,PF,80.6,broken clouds,-17.73,-149.15,Pension Oaoa
289,Masakin,TN,89.6,clear sky,35.73,10.58,DAR EL ANDALOUS Guest house
290,Bandarbeyla,SO,78.17,clear sky,9.49,50.81,REER XOOSHLE GROUP
291,La Ronge,CA,77.0,few clouds,55.1,-105.28,Northland Motor Hotel
292,Ishigaki,JP,81.95,moderate rain,24.34,124.16,Hotel Peace Land Ishigakijima
294,Luanda,AO,73.4,overcast clouds,-8.84,13.23,EPIC SANA Luanda
295,Victoria,HK,80.01,heavy intensity rain,22.29,114.16,Mini Hotel Central
296,Sao Miguel Do Iguacu,BR,84.2,clear sky,-25.35,-54.24,Hotel Itaguaçu
298,Rockland,US,90.0,light rain,41.17,-74.05,National Camp Association
299,Mirzapur,IN,84.2,haze,25.15,82.58,Hotel Yash Inn
301,Paratinga,BR,89.33,clear sky,-12.69,-43.18,Pousada Magalhães 2
304,Jasper,US,82.99,scattered clouds,37.2,-94.35,Guest House Motel
307,Belmonte,BR,77.0,scattered clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
311,Atbasar,KZ,71.85,clear sky,51.8,68.33,"The Ritz-Carlton, Astana"
314,Bose,IT,75.0,moderate rain,45.46,8.01,Locanda Borgo Antico
315,Farkhor,TJ,78.8,few clouds,37.49,69.4,Khonai Abdulkhayrov
319,Male,MV,84.2,broken clouds,4.17,73.51,Hotel Octave Maldives
320,Bontang,ID,77.29,broken clouds,0.13,117.5,Okra Leaf Guest House Syariah
321,Mayumba,GA,72.75,overcast clouds,-3.43,10.66,LIKWALE LODGE
328,Manokwari,ID,78.46,overcast clouds,-0.87,134.08,Swiss Belhotel Manokwari
329,Sao Joao Da Barra,BR,77.0,few clouds,-21.64,-41.05,Pousada Porto De Canoas
331,Bandundu,CD,87.24,broken clouds,-3.32,17.37,Coja Color
335,Namatanai,PG,79.52,light rain,-3.67,152.43,Namatanai Hotel
336,Wajir,KE,82.4,broken clouds,1.75,40.06,Al- Amin lodge
339,Rancho Palos Verdes,US,79.0,scattered clouds,33.74,-118.39,Terranea Resort
340,Sorong,ID,77.79,moderate rain,-0.88,131.25,The Waigo Hotel
342,Meulaboh,ID,78.01,overcast clouds,4.14,96.13,Kost Pria
344,Makokou,GA,73.08,clear sky,0.57,12.86,WAMY RESIDENCE HOTEL
345,Dingzhou,CN,80.6,broken clouds,38.51,115.0,宜家时尚宾馆
346,Sinnar,SD,83.7,clear sky,13.57,33.57,فندق الرشيد
350,Sheridan,US,86.0,clear sky,44.83,-106.92,Best Western Sheridan Center
352,Nidda,DE,75.99,overcast clouds,50.42,9.0,Kurhaushotel Bad Salzhausen
353,Faanui,PF,78.46,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
354,Nabire,ID,74.91,overcast clouds,-3.37,135.48,Hotel Nusantara Nabire
356,Halifax,CA,84.0,broken clouds,44.65,-63.57,Hotel Halifax
357,Barreirinhas,BR,87.69,clear sky,-2.75,-42.83,Gran Lençóis Flat Residence
359,Zhanaozen,KZ,81.59,clear sky,43.3,52.8,K.korabay 28A
362,Susanville,US,88.0,clear sky,40.42,-120.65,Red Lion Inn & Suites Susanville
364,Wajima,JP,77.31,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
369,Buchanan,LR,78.8,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
371,Ararangua,BR,70.05,overcast clouds,-28.93,-49.49,Hotel Mazzuco
375,Port Moresby,PG,73.4,broken clouds,-9.44,147.18,Lamana Hotel
377,Tiarei,PF,80.6,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
381,Eyl,SO,79.61,clear sky,7.98,49.82,Amiin Hotel
382,Tazmalt,DZ,82.4,few clouds,36.39,4.4,Hôtel Numédia
383,Tshela,CD,70.45,scattered clouds,-4.98,12.93,Hotel Mirador
390,Niamtougou,TG,77.0,scattered clouds,9.77,1.11,Sevebat
391,Florence,IT,86.0,clear sky,43.77,11.25,Italiana Hotels Florence
396,Paris,FR,73.99,scattered clouds,48.85,2.35,Citadines Saint-Germain-des-Prés Paris
398,Miraflores,MX,78.8,scattered clouds,19.22,-98.81,Hotel Mansión
403,Misratah,LY,82.65,clear sky,32.38,15.09,فندق الماسة
404,Hambantota,LK,77.0,broken clouds,6.12,81.12,Bungalow 63
406,Brokopondo,SR,83.08,light rain,4.75,-55.17,Matu Island
407,Sur,OM,84.31,few clouds,22.57,59.53,Sur Plaza Hotel
408,Pandan,PH,79.41,overcast clouds,14.05,124.17,Bonifacio Lodge
409,Hami,CN,82.65,overcast clouds,42.8,93.45,Laoyutang Resort
410,Jasidih,IN,86.72,overcast clouds,24.52,86.65,Alkapuri Guest House
412,Vila Velha,BR,75.2,few clouds,-20.33,-40.29,Hotel Vitória Palace
416,Ahuimanu,US,78.8,scattered clouds,21.44,-157.84,Paradise Bay Resort
417,Melfi,IT,84.2,broken clouds,41.0,15.65,HOTEL TERME DI RAPOLLA
423,Manresa,ES,82.0,clear sky,41.73,1.83,Hotel 1948 Manresa
424,Mahibadhoo,MV,82.51,light rain,3.78,72.97,Omadhoo Inn
425,Millinocket,US,84.2,scattered clouds,45.66,-68.71,Katahdin Inn & Suites
429,Varzea Da Palma,BR,82.06,clear sky,-17.6,-44.73,Hotel Mineiro Ltda
430,Seoul,KR,78.8,moderate rain,37.57,126.98,LOTTE HOTEL SEOUL
435,Butler,US,77.0,overcast clouds,39.45,-84.57,Twin Run Golf Course
436,Jacksonville,US,90.0,shower rain,30.33,-81.66,Hyatt Regency Jacksonville Riverfront
438,Bintulu,MY,77.0,scattered clouds,3.17,113.03,900 Boutique INN
442,Sompeta,IN,84.49,overcast clouds,18.93,84.6,V.B.R A/C Lodge And Function Hall
443,Qinhuangdao,CN,75.06,scattered clouds,39.93,119.59,Qinhuangdao Peninsula Seasons Hotel And Apartment
446,Da Nang,VN,78.8,broken clouds,16.07,108.22,Grand Mercure Danang
447,Treinta Y Tres,UY,75.27,overcast clouds,-33.23,-54.38,Jardines Apart-Hotel
449,Miri,MY,78.8,scattered clouds,4.41,114.01,"Mega Hotel, Miri"
451,Itambacuri,BR,72.68,light rain,-18.03,-41.69,Pousada Bela
455,Laguna,US,82.99,clear sky,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
456,Saint Simons,US,89.6,few clouds,31.14,-81.39,Holiday Inn Express Saint Simons Island
457,Pasni,PK,84.06,overcast clouds,25.26,63.47,3G hotel pasni
